country_code,country_name,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11
RKS,Kosovo,0.0,0.0,106.0,693.0,271.0,1729.0,5531.0,5124.0,2166.0,3708.0,20268.0,11548.0,9074.0,8233.0,20730.0,14457.0,3364.0,756.0,607.0,36621.0,15086.0,690.0,329.0
ROU,Romania,0.0,3.0,2242.0,9995.0,7017.0,7713.0,23916.0,36654.0,40032.0,113767.0,234023.0,156901.0,96480.0,73251.0,150809.0,102462.0,22472.0,3055.0,2397.0,15576.0,134903.0,414363.0,131636.0
RUS,Russia,2.0,0.0,2335.0,104161.0,299345.0,241086.0,191532.0,153941.0,178397.0,435468.0,669669.0,851411.0,681001.0,390052.0,295834.0,256521.0,262757.0,436082.0,735655.0,635448.0,580407.0,976880.0,1090656.0
RWA,Rwanda,0.0,0.0,75.0,168.0,127.0,655.0,997.0,2041.0,777.0,297.0,797.0,2449.0,6921.0,3546.0,2933.0,3333.0,1847.0,12084.0,31651.0,16929.0,9890.0,2181.0,651.0
SAU,Saudi Arabia,0.0,0.0,1563.0,21190.0,62508.0,105562.0,85082.0,39867.0,18833.0,12677.0,10078.0,5381.0,5333.0,9309.0,12624.0,27356.0,33073.0,37156.0,38138.0,17588.0,3816.0,1483.0,1135.0
SDN,Sudan,0.0,0.0,7.0,368.0,4425.0,4572.0,2207.0,1610.0,457.0,158.0,4241.0,7455.0,3880.0,967.0,1486.0,2111.0,1551.0,1163.0,480.0,571.0,574.0,2150.0,2651.0
SEN,Senegal,0.0,0.0,175.0,758.0,2712.0,3148.0,3439.0,3379.0,1371.0,634.0,473.0,3051.0,7383.0,7997.0,4185.0,1639.0,1072.0,1712.0,19162.0,10515.0,970.0,142.0,70.0
SGP,Singapore,13.0,89.0,824.0,15243.0,18715.0,9023.0,8298.0,4607.0,953.0,250.0,203.0,381.0,937.0,400.0,445.0,764.0,906.0,528.0,2402.0,2639.0,28901.0,101853.0,66351.0
SLB,Solomon Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,9.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLE,Sierra Leone,0.0,0.0,1.0,123.0,737.0,601.0,361.0,199.0,209.0,135.0,46.0,199.0,982.0,294.0,93.0,74.0,93.0,1428.0,708.0,84.0,27.0,3.0,5.0
SLV,El Salvador,0.0,0.0,32.0,363.0,2122.0,3921.0,10194.0,9097.0,3348.0,4749.0,5115.0,7301.0,8724.0,5215.0,4545.0,4472.0,4504.0,5064.0,7854.0,7440.0,10288.0,9074.0,6381.0
SMR,San Marino,0.0,1.0,235.0,327.0,124.0,26.0,3.0,19.0,14.0,209.0,651.0,724.0,692.0,691.0,1016.0,328.0,30.0,2.0,51.0,188.0,109.0,107.0,492.0
SOM,Somalia,0.0,0.0,5.0,596.0,1375.0,948.0,288.0,98.0,278.0,353.0,510.0,263.0,70.0,2473.0,4141.0,2517.0,747.0,284.0,457.0,2063.0,2514.0,2018.0,1018.0
SRB,Serbia,0.0,0.0,900.0,8109.0,2403.0,3152.0,10988.0,5854.0,2145.0,13403.0,128484.0,162485.0,57340.0,63996.0,141337.0,88961.0,22915.0,4090.0,5356.0,41015.0,179056.0,200760.0,112096.0
SSD,South Sudan,0.0,0.0,0.0,35.0,959.0,1013.0,315.0,205.0,177.0,201.0,204.0,449.0,371.0,3997.0,2239.0,418.0,105.0,146.0,215.0,387.0,574.0,351.0,397.0
SUR,Suriname,0.0,0.0,9.0,1.0,13.0,492.0,1135.0,2384.0,843.0,326.0,109.0,898.0,2228.0,491.0,193.0,1241.0,4591.0,6778.0,3619.0,3942.0,12338.0,7388.0,1829.0
SVK,Slovak Republic,0.0,0.0,363.0,1033.0,125.0,146.0,625.0,1625.0,6224.0,49682.0,61524.0,153256.0,161413.0,152655.0,119205.0,46202.0,16930.0,4003.0,1433.0,3323.0,24605.0,94554.0,271274.0
SVN,Slovenia,0.0,0.0,802.0,627.0,44.0,127.0,556.0,727.0,2807.0,28617.0,41507.0,46338.0,44321.0,23608.0,25521.0,24690.0,13430.0,3613.0,1880.0,7983.0,26166.0,42486.0,85048.0
SWE,Sweden,0.0,14.0,4820.0,16767.0,17060.0,29263.0,9152.0,7303.0,8484.0,31492.0,118774.0,194250.0,129578.0,90352.0,147577.0,168718.0,94869.0,21517.0,10050.0,26773.0,26073.0,18626.0,33347.0
SWZ,Eswatini,0.0,0.0,9.0,91.0,185.0,527.0,1836.0,1929.0,905.0,435.0,502.0,2939.0,6353.0,1303.0,323.0,1121.0,137.0,489.0,6895.0,17392.0,2553.0,497.0,235.0
SYC,Seychelles,0.0,0.0,8.0,3.0,0.0,70.0,33.0,17.0,10.0,11.0,20.0,54.0,960.0,1406.0,1522.0,1724.0,5630.0,4203.0,2657.0,1710.0,1435.0,770.0,1174.0
SYR,Syria,0.0,0.0,10.0,33.0,79.0,157.0,478.0,2008.0,1435.0,1528.0,2159.0,3547.0,2614.0,1540.0,3321.0,3824.0,1762.0,1020.0,448.0,1952.0,6290.0,8941.0,5024.0
TCD,Chad,0.0,0.0,7.0,66.0,705.0,88.0,70.0,77.0,187.0,283.0,205.0,425.0,1263.0,597.0,560.0,284.0,114.0,20.0,22.0,19.0,46.0,31.0,38.0
TGO,Togo,0.0,0.0,34.0,82.0,326.0,208.0,291.0,459.0,384.0,547.0,643.0,659.0,1441.0,1827.0,3348.0,2718.0,499.0,451.0,1881.0,5463.0,4168.0,650.0,186.0
