CountryName_x,CountryCode_x,RegionName,RegionCode_x,Jurisdiction,Date,C1_School closing,C1_Flag,C2_Workplace closing,C2_Flag,C3_Cancel public events,C3_Flag,C4_Restrictions on gatherings,C4_Flag,C5_Close public transport,C5_Flag,C6_Stay at home requirements,C6_Flag,C7_Restrictions on internal movement,C7_Flag,C8_International travel controls,E1_Income support,E1_Flag,E2_Debt/contract relief,E3_Fiscal measures,E4_International support,H1_Public information campaigns,H1_Flag,H2_Testing policy,H3_Contact tracing,H4_Emergency investment in healthcare,H5_Investment in vaccines,H6_Facial Coverings,H6_Flag,H7_Vaccination policy,H7_Flag,H8_Protection of elderly people,H8_Flag,M1_Wildcard,V1_Vaccine Prioritisation (summary),V2A_Vaccine Availability (summary),V2B_Vaccine age eligibility/availability age floor (general population summary),V2C_Vaccine age eligibility/availability age floor (at risk summary),V2D_Medically/ clinically vulnerable (Non-elderly),V2E_Education,V2F_Frontline workers  (non healthcare),V2G_Frontline workers  (healthcare),V3_Vaccine Financial Support (summary),ConfirmedCases,ConfirmedDeaths,StringencyIndex,StringencyIndexForDisplay,StringencyLegacyIndex,StringencyLegacyIndexForDisplay,GovernmentResponseIndex,GovernmentResponseIndexForDisplay,ContainmentHealthIndex,ContainmentHealthIndexForDisplay,EconomicSupportIndex,EconomicSupportIndexForDisplay,CountryName_y,CountryCode_y,RegionCode_y,population,population_male,population_female,population_rural,population_urban,population_largest_city,population_clustered,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,ConfirmedCasesAtEOM,ConfirmedDeathsAtEOM
United States,USA,Connecticut,US_CT,STATE_TOTAL,2021-05-31,2.0,0.0,1.0,1.0,1.0,1.0,3.0,1.0,0.0,,0.0,,1.0,1.0,3.0,1.0,1.0,2.0,,,2.0,1.0,3.0,2.0,,,2.0,0.0,5.0,1.0,1.0,1.0,,,,,,,,,,,347341.0,8238.0,48.15,48.15,60.24,60.24,59.64,59.64,57.44,57.44,75.0,75.0,United States,USA,US_CT,3605944.0,1818390.0,1933634.0,,,,,,,416756.0,474984.0,464289.0,464250.0,499839.0,515148.0,456067.0,277479.0,183211.0,347341.0,8238.0
United States,USA,Connecticut,US_CT,STATE_TOTAL,2021-06-30,0.0,,0.0,,1.0,1.0,0.0,,0.0,,0.0,,1.0,1.0,3.0,1.0,1.0,1.0,,,2.0,1.0,3.0,2.0,,,2.0,0.0,5.0,1.0,1.0,1.0,,,,,,,,,,,349352.0,8278.0,30.56,30.56,44.05,44.05,46.61,46.61,46.13,46.13,50.0,50.0,United States,USA,US_CT,3605944.0,1818390.0,1933634.0,,,,,,,416756.0,474984.0,464289.0,464250.0,499839.0,515148.0,456067.0,277479.0,183211.0,349352.0,8278.0
United States,USA,Connecticut,US_CT,STATE_TOTAL,2021-07-31,0.0,,0.0,,1.0,1.0,0.0,,0.0,,0.0,,1.0,1.0,3.0,1.0,1.0,1.0,,,2.0,1.0,3.0,2.0,,,2.0,0.0,5.0,1.0,1.0,1.0,,,,,,,,,,,354335.0,8293.0,30.56,30.56,44.05,44.05,46.61,46.61,46.13,46.13,50.0,50.0,United States,USA,US_CT,3605944.0,1818390.0,1933634.0,,,,,,,416756.0,474984.0,464289.0,464250.0,499839.0,515148.0,456067.0,277479.0,183211.0,354335.0,8293.0
United States,USA,Connecticut,US_CT,STATE_TOTAL,2021-08-31,1.0,1.0,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,1.0,3.0,1.0,1.0,1.0,,,2.0,1.0,3.0,2.0,,,2.0,0.0,5.0,1.0,1.0,1.0,,,,,,,,,,,373072.0,8358.0,28.7,28.7,41.67,41.67,45.57,45.57,44.94,44.94,50.0,50.0,United States,USA,US_CT,3605944.0,1818390.0,1933634.0,,,,,,,416756.0,474984.0,464289.0,464250.0,499839.0,515148.0,456067.0,277479.0,183211.0,373072.0,8358.0
United States,USA,Connecticut,US_CT,STATE_TOTAL,2021-09-30,1.0,1.0,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,1.0,3.0,1.0,1.0,1.0,,,2.0,1.0,3.0,2.0,,,2.0,0.0,5.0,1.0,1.0,1.0,,,,,,,,,,,390345.0,8629.0,28.7,28.7,41.67,41.67,45.57,45.57,44.94,44.94,50.0,50.0,United States,USA,US_CT,3605944.0,1818390.0,1933634.0,,,,,,,416756.0,474984.0,464289.0,464250.0,499839.0,515148.0,456067.0,277479.0,183211.0,390345.0,8629.0
United States,USA,Connecticut,US_CT,STATE_TOTAL,2021-10-31,1.0,1.0,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,1.0,3.0,1.0,0.0,1.0,,,2.0,1.0,3.0,2.0,,,2.0,0.0,5.0,1.0,1.0,1.0,,,,,,,,,,,402583.0,8764.0,28.7,28.7,41.67,41.67,44.01,44.01,44.94,44.94,37.5,37.5,United States,USA,US_CT,3605944.0,1818390.0,1933634.0,,,,,,,416756.0,474984.0,464289.0,464250.0,499839.0,515148.0,456067.0,277479.0,183211.0,402583.0,8764.0
United States,USA,Connecticut,US_CT,STATE_TOTAL,2021-11-30,1.0,1.0,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,1.0,3.0,1.0,1.0,1.0,,,2.0,1.0,3.0,2.0,,,2.0,0.0,5.0,1.0,1.0,1.0,,,,,,,,,,,421692.0,8905.0,28.7,28.7,41.67,41.67,45.57,45.57,44.94,44.94,50.0,50.0,United States,USA,US_CT,3605944.0,1818390.0,1933634.0,,,,,,,416756.0,474984.0,464289.0,464250.0,499839.0,515148.0,456067.0,277479.0,183211.0,421692.0,8905.0
United States,USA,Connecticut,US_CT,STATE_TOTAL,2021-12-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,USA,US_CT,3605944.0,1818390.0,1933634.0,,,,,,,416756.0,474984.0,464289.0,464250.0,499839.0,515148.0,456067.0,277479.0,183211.0,436143.0,8946.0
United States,USA,Delaware,US_DE,STATE_TOTAL,2020-01-31,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,,,1.0,1.0,1.0,1.0,,,0.0,,0.0,,0.0,,,,,,,,,,,,0.0,0.0,5.56,5.56,9.52,9.52,8.33,8.33,9.52,9.52,0.0,0.0,United States,USA,US_DE,989948.0,499890.0,535860.0,,,,,,,120699.0,127709.0,137209.0,128535.0,126191.0,132876.0,135670.0,86094.0,40766.0,0.0,0.0
United States,USA,Delaware,US_DE,STATE_TOTAL,2020-02-29,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,0.0,,0.0,,,1.0,1.0,1.0,1.0,,,0.0,,0.0,,0.0,,,,,,,,,,,,0.0,0.0,8.33,8.33,13.1,13.1,9.9,9.9,11.31,11.31,0.0,0.0,United States,USA,US_DE,989948.0,499890.0,535860.0,,,,,,,120699.0,127709.0,137209.0,128535.0,126191.0,132876.0,135670.0,86094.0,40766.0,0.0,0.0
