country_code,country_name,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12
SVK,Slovak Republic,6.5,7.81,42.81,71.61,72.74,55.42,52.08,50.47,50.42,66.18,76.04,71.41,77.32,79.34,79.78,79.89,67.73,59.2,54.17,53.3,54.22,54.57,57.19,70.83
SVN,Slovenia,0.0,0.0,43.58,78.72,60.31,47.43,48.41,50.0,50.0,57.78,72.92,74.81,74.51,70.57,71.98,72.0,59.51,53.67,46.9,44.25,46.02,55.59,58.11,61.25
SWE,Sweden,0.27,11.46,32.86,52.6,52.6,52.6,54.69,53.68,52.6,52.6,54.55,59.39,60.01,60.64,60.86,58.18,58.8,53.75,49.59,44.24,42.57,28.65,28.65,28.65
SWZ,Eswatini,0.15,4.47,30.26,59.44,57.54,57.81,56.2,54.56,53.13,45.97,42.64,46.77,59.8,64.85,64.38,62.2,57.27,62.7,67.55,62.79,62.67,61.12,63.02,61.98
SYC,Seychelles,0.6,8.73,22.45,66.95,57.96,28.96,29.69,29.69,32.4,36.29,35.26,34.38,57.97,71.27,70.92,61.08,62.72,66.67,71.46,73.42,71.98,61.46,62.0,61.46
SYR,Syria,0.0,1.56,30.07,57.84,56.01,46.35,46.35,40.91,33.28,28.81,31.36,29.82,29.87,23.95,25.31,41.71,42.92,40.09,25.75,26.05,25.1,40.94,45.89,45.89
TCD,Chad,0.0,0.0,13.32,48.86,61.27,57.08,55.38,55.73,60.07,60.57,57.29,55.61,55.11,38.04,29.07,28.85,33.85,35.62,39.06,34.28,36.17,39.38,39.38,39.38
TGO,Togo,0.0,0.0,18.43,49.25,52.25,51.81,45.6,42.22,41.42,52.6,50.49,58.42,51.35,44.02,66.46,57.55,51.96,53.75,53.75,59.7,56.0,55.44,56.25,56.25
THA,Thailand,0.0,0.0,26.04,68.63,71.6,64.34,55.47,53.55,52.81,55.47,51.98,59.8,59.15,42.24,46.88,49.86,60.28,58.4,59.28,69.48,62.25,66.6,66.03,57.86
TJK,Tajikistan,1.11,11.03,15.94,25.94,40.51,48.39,44.74,44.87,40.47,40.1,40.1,40.1,36.07,22.4,28.25,30.14,33.77,33.54,33.83,34.01,29.69,29.69,29.2,27.6
TKM,Turkmenistan,4.03,12.05,18.43,24.89,19.79,19.37,26.08,30.21,33.12,40.44,48.54,46.84,48.35,38.73,41.68,51.83,52.08,45.45,52.72,55.55,57.65,58.16,53.78,49.74
TLS,Timor-Leste,0.2,5.82,22.08,61.04,62.6,46.19,40.9,36.46,35.28,32.86,31.22,33.28,46.12,38.19,58.61,74.19,68.08,58.44,57.4,61.65,55.89,54.69,53.73,52.34
TON,Tonga,0.25,2.9,19.2,44.62,36.01,34.9,31.77,31.77,31.77,31.77,31.77,31.64,31.64,31.77,31.77,32.44,33.02,30.41,32.37,40.73,40.73,40.73,47.42,42.81
TTO,Trinidad and Tobago,0.3,7.7,33.35,71.25,80.51,68.89,55.1,55.29,61.98,57.44,54.17,56.42,56.77,56.51,57.42,58.17,59.19,67.14,74.25,71.9,72.15,64.03,63.05,62.5
TUN,Tunisia,0.0,0.0,37.32,71.88,71.1,41.36,32.81,33.67,33.27,49.97,62.67,64.09,65.28,65.1,61.98,61.11,65.26,65.17,71.97,77.02,58.86,39.54,35.31,36.77
TUR,Turkey,4.64,16.51,33.47,61.42,65.1,65.84,63.07,57.67,67.43,70.93,66.65,69.18,74.48,69.64,67.15,75.45,78.25,63.82,61.04,45.52,51.24,50.89,34.38,32.81
TWN,Taiwan,10.13,27.15,30.59,34.74,38.14,37.03,35.94,37.3,37.5,37.5,37.5,35.42,36.53,38.54,38.94,40.92,56.84,66.35,65.96,59.21,57.24,54.07,51.04,51.04
TZA,Tanzania,0.1,1.56,13.34,32.53,32.34,23.56,21.11,18.89,15.09,12.91,14.32,10.69,8.07,8.14,6.59,5.52,9.3,16.46,20.45,24.23,23.75,34.37,22.61,25.52
